"","acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","ph","sulphates","alcohol","quality","tipo"
"1",7.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"blanco"
"2",6.6,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"blanco"
"3",8.38,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"blanco"
"4",7.43,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"blanco"
"5",6.52,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,"blanco"
"6",8.32,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,"blanco"
"7",8.37,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,"blanco"
"8",8.83,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,"blanco"
"9",8.08,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,"blanco"
"10",6.76,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,"blanco"
"11",8.72,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,"blanco"
"12",6.77,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,"blanco"
"13",6.78,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,"blanco"
"14",6.86,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"blanco"
"15",7.74,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,"blanco"
"16",6.81,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,"blanco"
"17",6.71,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,"blanco"
"18",7.06,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,"blanco"
"19",8.27,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,"blanco"
"20",6.87,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,"blanco"
"21",7.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,"blanco"
"22",7.14,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,"blanco"
"23",7.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,"blanco"
"24",7.67,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,"blanco"
"25",7.52,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,"blanco"
"26",8.74,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,"blanco"
"27",8.44,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,"blanco"
"28",7.65,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,"blanco"
"29",6.32,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,"blanco"
"30",6.07,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,"blanco"
